ResourceName,ResourceId,ResourceType,ResourceGroup,ResourceGroupId,ResourceLocation,Subscription,SubscriptionId,Tags,Cost,CostUSD,Currency
sbreaditredis,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.cache/redis/sbreaditredis,Redis cache,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],1002.186608,12.17334888,INR
catalog-vm_osdisk_1_e2f5328019f0483ead8d5aff469a11ba,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.compute/disks/catalog-vm_osdisk_1_e2f5328019f0483ead8d5aff469a11ba,Disk,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],772.583593,9.380299917,INR
interstellar_disk1_e3a16eb7041c480ea4562851c64d151c,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar/providers/microsoft.compute/disks/interstellar_disk1_e3a16eb7041c480ea4562851c64d151c,Disk,rg_subhasish_interstellar,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""#subhasish-vm\"":\""interstellar\""""]",764.583252,9.282977024,INR
sb-readit-dbserver / readit-db,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.sql/servers/sb-readit-dbserver/databases/readit-db,SQL database,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],410.853898,4.988388023,INR
sbreaditacr,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.containerregistry/registries/sbreaditacr,Container registry,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],364.2736316,4.422451003,INR
catalog-vm-ip,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.network/publicipaddresses/catalog-vm-ip,Public IP address,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],268.194976,3.256280761,INR
interstellar-ip,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar/providers/microsoft.network/publicipaddresses/interstellar-ip,Public IP address,rg_subhasish_interstellar,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""#subhasish-vm\"":\""interstellar\""""]",268.194976,3.256280761,INR
sbreaditapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.network/frontdoors/sbreaditapp,Front Door,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,Unknown,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],259.8274847,3.16645575,INR
defaultworkspace-centralindia,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/defaultresourcegroup-centralindia/providers/microsoft.operationalinsights/workspaces/defaultworkspace-centralindia,Log Analytics workspace,defaultresourcegroup-centralindia,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/defaultresourcegroup-centralindia,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],228.8890606,2.785909059,INR
aks-agentpool-40540486-vmss,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia/providers/microsoft.compute/virtualmachinescalesets/aks-agentpool-40540486-vmss,Virtual machine scale set,mc_rg_memilavi_readitapp_readit-card-aks_centralindia,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia,"Intercontinental, Asia, IN Central",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""aks-managed-createoperationid\"":\""e41c1b09-ae7f-44cd-9d19-7552743a4ce5\"""",""\""aks-managed-creationsource\"":\""vmssclient-aks-agentpool-40540486-vmss\"""",""\""aks-managed-kubeletidentityclientid\"":\""80c68022-5f0a-4639-ab10-e3691afbfd16\"""",""\""aks-managed-orchestrator\"":\""kubernetes:1.25.6\"""",""\""aks-managed-poolname\"":\""agentpool\"""",""\""aks-managed-resourcenamesuffix\"":\""40026033\"""",""\""aks-managed-consolidated-additional-properties\"":\""e3177e84-2b6a-11ee-8103-a22f9bf481b7\"""",""\""aks-managed-coordination\"":\""true\""""]",191.6786947,2.335942657,INR
