"NAME","TYPEDISPLAYNAME","LOCATIONDISPLAYNAME","NAME","TYPE","KIND","LOCATION","SUBSCRIPTION","RESOURCE GROUP","TAGS","EXTENDEDLOCATION"
"Application Insights Smart Detection","Action group","Global","Application Insights Smart Detection","Action group","","Global","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"ASP-rgMemiLaviReadITApp-99db","App Service plan","Central India","ASP-rgMemiLaviReadITApp-99db","App Service plan","app","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"Catalog-VM","Virtual machine","Central India","Catalog-VM","Virtual machine","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","{""env"":""Test"",""group"":""A-Team""}","null"
"Catalog-VM-ip","Public IP address","Central India","Catalog-VM-ip","Public IP address","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"Catalog-VM-nsg","Network security group","Central India","Catalog-VM-nsg","Network security group","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"catalog-vm353","Network Interface","Central India","catalog-vm353","Network interface","Regular","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"Catalog-VM_OsDisk_1_e2f5328019f0483ead8d5aff469a11ba","Disk","Central India","Catalog-VM_OsDisk_1_e2f5328019f0483ead8d5aff469a11ba","Disk","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"CatalogVMnsg465","Network security group","Central India","CatalogVMnsg465","Network security group","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"CentralIndiaPlan","App Service plan","Central India","CentralIndiaPlan","App Service plan","functionapp","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"CPU Usage Percentage - readit-card-aks","Metric alert rule","Global","CPU Usage Percentage - readit-card-aks","Metric alert rule","","Global","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"Failure Anomalies - sb-readit-inventory","Smart detector alert rule","Global","Failure Anomalies - sb-readit-inventory","Smart detector alert rule","","Global","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"Failure Anomalies - sb-readit-inventory-secondary","Smart detector alert rule","Global","Failure Anomalies - sb-readit-inventory-secondary","Smart detector alert rule","","Global","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"Failure Anomalies - sbreaditfunctionapp","Smart detector alert rule","Global","Failure Anomalies - sbreaditfunctionapp","Smart detector alert rule","","Global","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"High CPU Utilization","Metric alert rule","Global","High CPU Utilization","Metric alert rule","","Global","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"log-redaitapp-ws","Log Analytics workspace","Central India","log-redaitapp-ws","Log Analytics workspace","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"Memory Working Set Percentage - readit-card-aks","Metric alert rule","Global","Memory Working Set Percentage - readit-card-aks","Metric alert rule","","Global","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"MSCI-centralindia-readit-card-aks","Data collection rule","Central India","MSCI-centralindia-readit-card-aks","Data collection rule","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"opderstopic","Event Grid System Topic","Central India","opderstopic","Event Grid System Topic","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"privatelink.vaultcore.azure.net","Private DNS zone","Global","privatelink.vaultcore.azure.net","Private DNS zone","","Global","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"readit-app-gw-ip","Public IP address","Central India","readit-app-gw-ip","Public IP address","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"readit-app-vnet","Virtual network","Central India","readit-app-vnet","Virtual network","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"readit-appgw-vent","Virtual network","Central India","readit-appgw-vent","Virtual network","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","null","null"
"ReadIT-DB","SQL database","Central India","sb-readit-dbserver/ReadIT-DB","SQL database","v12.0,user","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
"readit-sb-kv","Key vault","Central India","readit-sb-kv","Key vault","","Central India","Visual Studio Professional Subscription","rg_memilavi_readitapp","{}","null"
